#Zeitstempel[ms];BeschleunigungX[m/s2];BeschleunigungY[m/s2];BeschleunigungZ[m/s2];GyroskopX[rad/s];GyroskopY[rad/s];GyroskopZ[rad/s]
1655820541502;-1,764996;2,458749;6,943089;-0,081559;0,069464;0,187466
1655820541512;-1,764996;2,458749;6,943089;-0,081559;0,069464;0,187466
1655820541522;-1,920696;2,722456;7,069407;-0,005061;0,073217;0,133413
1655820541533;-1,920696;2,722456;7,069407;-0,005061;0,073217;0,133413
1655820541543;-1,920696;2,722456;7,069407;-0,005061;0,073217;0,133413
1655820541553;-2,069749;3,117155;6,992563;-0,162141;0,24487;0,193051
1655820541563;-2,069749;3,117155;6,992563;-0,162141;0,24487;0,193051
1655820541573;-2,069749;3,117155;6,992563;-0,162141;0,24487;0,193051
1655820541583;-2,263813;3,618501;7,185085;-0,16078;0,070529;0,125297
1655820541594;-2,263813;3,618501;7,185085;-0,16078;0,070529;0,125297
1655820541604;-2,263813;3,618501;7,185085;-0,16078;0,070529;0,125297
1655820541614;-2,263813;3,618501;7,185085;-0,16078;0,070529;0,125297
1655820541624;-2,229643;3,941555;7,960855;-0,153851;-0,154636;0,037402
1655820541634;-2,229643;3,941555;7,960855;-0,153851;-0,154636;0,037402
1655820541645;-2,229643;3,941555;7,960855;-0,153851;-0,154636;0,037402
1655820541656;-1,901178;4,319149;8,36467;-0,259059;0,004171;0,003299
1655820541666;-1,901178;4,319149;8,36467;-0,259059;0,004171;0,003299
1655820541677;-1,901178;4,319149;8,36467;-0,259059;0,004171;0,003299
1655820541687;-1,951456;4,660811;8,718495;-0,258413;0,109711;0,015708
1655820541697;-1,951456;4,660811;8,718495;-0,258413;0,109711;0,015708
1655820541707;-1,951456;4,660811;8,718495;-0,258413;0,109711;0,015708
1655820541717;-1,928204;4,855221;9,071324;-0,258413;0,109711;0,015708
1655820541728;-1,928204;4,855221;9,071324;-0,135926;-0,181148;-0,0525
1655820541738;-1,928204;4,855221;9,071324;-0,135926;-0,181148;-0,0525
1655820541749;-1,829074;4,948949;10,19432;-0,135926;-0,181148;-0,0525
1655820541759;-1,829074;4,948949;10,19432;-0,148161;-0,161548;-0,1531
